onset_time,midi_note,morphetic_pitch_number,duration,staff_number,measure
-0.75,62.0,61.0,0.25,0.0,0.0
-0.5,74.0,68.0,0.25,0.0,0.0
-0.25,70.0,65.0,0.25,0.0,0.0
0.0,71.0,66.0,0.25,0.0,1.0
0.25,66.0,63.0,0.25,0.0,1.0
0.5,67.0,64.0,0.75,0.0,1.0
0.75,47.0,52.0,1.25,1.0,1.0
1.0,50.0,54.0,1.0,1.0,1.0
1.25,62.0,61.0,0.25,0.0,1.0
1.5,74.0,68.0,0.25,0.0,1.0
1.75,70.0,65.0,0.25,0.0,1.0
2.0,71.0,66.0,0.25,0.0,2.0
2.25,66.0,63.0,0.25,0.0,2.0
2.5,67.0,64.0,0.75,0.0,2.0
2.75,59.0,59.0,1.25,1.0,2.0
3.0,62.0,61.0,1.0,1.0,2.0
3.25,64.0,62.0,0.25,0.0,2.0
3.5,76.0,69.0,0.25,0.0,2.0
3.75,71.0,66.0,0.25,0.0,2.0
4.0,72.0,67.0,0.25,0.0,3.0
4.25,68.0,64.0,0.25,0.0,3.0
4.5,69.0,65.0,0.75,0.0,3.0
4.75,48.0,53.0,1.25,1.0,3.0
5.0,52.0,55.0,1.0,1.0,3.0
5.25,64.0,62.0,0.25,0.0,3.0
5.5,76.0,69.0,0.25,0.0,3.0
5.75,71.0,66.0,0.25,0.0,3.0
6.0,72.0,67.0,0.25,0.0,4.0
6.25,68.0,64.0,0.25,0.0,4.0
6.5,69.0,65.0,0.75,0.0,4.0
6.75,60.0,60.0,1.25,1.0,4.0
7.0,64.0,62.0,1.0,1.0,4.0
7.25,69.0,65.0,0.25,0.0,4.0
7.5,84.0,74.0,0.25,0.0,4.0
7.75,83.0,73.0,0.25,0.0,4.0
8.0,81.0,72.0,0.75,0.0,5.0
8.25,54.0,56.0,0.25,1.0,5.0
8.5,57.0,58.0,0.25,1.0,5.0
8.75,79.0,71.0,0.25,0.0,5.0
9.0,78.0,70.0,0.25,0.0,5.0
9.25,76.0,69.0,0.25,0.0,5.0
9.5,74.0,68.0,0.25,0.0,5.0
9.75,72.0,67.0,0.25,0.0,5.0
10.0,72.0,67.0,0.25,0.0,6.0
10.25,71.0,66.0,0.5,0.0,6.0
10.5,59.0,59.0,0.25,1.0,6.0
10.75,79.0,71.0,0.25,0.0,6.0
11.0,79.0,71.0,0.25,0.0,6.0
11.25,69.0,65.0,0.5,0.0,6.0
11.5,52.0,55.0,0.25,1.0,6.0
11.75,76.0,69.0,0.25,0.0,6.0
12.0,76.0,69.0,0.25,0.0,7.0
12.25,67.0,64.0,0.5,0.0,7.0
12.5,55.0,57.0,0.25,1.0,7.0
12.75,74.0,68.0,0.25,0.0,7.0
13.0,74.0,68.0,0.25,0.0,7.0
13.25,60.0,60.0,0.5,0.0,7.0
13.5,45.0,51.0,0.25,1.0,7.0
13.75,66.0,63.0,0.25,0.0,7.0
14.0,67.0,64.0,1.0,0.0,8.0
14.25,47.0,52.0,0.25,1.0,8.0
14.5,50.0,54.0,0.25,1.0,8.0
14.75,47.0,52.0,0.25,1.0,8.0
15.0,43.0,50.0,0.25,1.0,8.0
15.25,47.0,52.0,0.25,1.0,8.0
15.5,74.0,68.0,0.5,0.0,8.0
15.75,47.0,52.0,0.25,1.0,8.0
16.0,74.0,68.0,0.5,0.0,9.0
16.25,47.0,52.0,0.25,1.0,9.0
16.5,74.0,68.0,0.5,0.0,9.0
16.75,47.0,52.0,0.25,1.0,9.0
17.0,74.0,68.0,0.5,0.0,9.0
17.25,47.0,52.0,0.25,1.0,9.0
