onset_time,offset_time,key,degree,quality,inversion,roman_numeral_notation
-0.5,4.0,A,1,M,0,I
4.0,8.0,A,2,m,0,ii
8.0,16.0,A,5,D7,0,V7
16.0,20.0,A,1,M,0,I
20.0,22.0,A,5,D7,0,V7
22.0,24.0,A,1,M,0,I
24.0,26.0,A,5,D7,3,V42
26.0,28.0,A,1,M,1,I6
28.0,30.0,A,5,D7,1,V65
30.0,31.0,A,1,M,0,I
31.0,32.0,E,5,D7,0,V7
32.0,33.0,E,1,M,0,I
33.0,34.0,E,5,D7,0,V7
34.0,35.0,E,1,M,0,I
35.0,36.0,E,5,D7,0,V7
36.0,40.0,E,1,M,0,I
40.0,48.0,A,1,M,0,I
48.0,50.0,A,5,D7,3,V42
50.0,52.0,A,1,M,1,I6
52.0,54.0,A,5,D7,1,V65
54.0,56.0,A,1,M,0,I
56.0,58.0,A,5,D7,0,V7
58.0,58.5,A,1,M,0,I
58.5,59.0,A,5,M,1,V6
59.0,59.5,A,1,M,0,I
59.5,60.0,A,4,M,1,IV6
60.0,61.0,A,1,M,2,I64
61.0,62.0,A,5,D7,0,V7
62.0,66.0,A,1,M,0,I
66.0,70.0,A,5,D7,3,V42
70.0,74.0,A,1,M,1,I6
74.0,76.0,B,5,D7,1,V65
76.0,78.0,B,6,m,1,vi6
78.0,80.0,B,2,m,1,ii6
80.0,82.0,B,5,D7,0,V7
82.0,83.0,B,1,M,0,I
83.0,84.0,B,5/4,D7,0,V7/IV
84.0,85.0,B,4,M,1,IV6
85.0,86.0,B,5,D7,3,V42
86.0,87.0,B,1,M,0,I
87.0,88.0,B,5/4,D7,0,V7/IV
88.0,89.0,B,4,M,1,IV6
89.0,90.0,B,5,D7,3,V42
90.0,98.0,B,1,M,0,I
98.0,102.0,e,5,D7,3,V42
102.0,106.0,e,1,m,1,i6
106.0,112.0,e,7,d7,0,vii-7
112.0,114.0,e,5,D7,1,V65
114.0,118.0,e,1,m,0,i
118.0,121.0,e,7,d7,1,vii-65
121.0,122.0,G,5,D7,1,V65
122.0,126.0,G,1,M,0,I
126.0,129.0,G,7,d7,1,vii-65
129.0,130.0,B-,5,D7,1,V65
130.0,134.0,B-,1,M,0,I
134.0,136.0,B-,7/6,d7,2,vii-43/vi
136.0,138.0,B-,5/3,D7,1,V65/iii
138.0,140.0,e,5/3,D7,0,V7/III
140.0,142.0,e,5,D7,0,V7
142.0,144.0,e,5/4,D7,0,V7/iv
144.0,146.0,e,5/2,D7,1,V65/ii
146.0,148.0,e,2,h7,0,ii=7
148.0,165.5,e,7,d7,1,vii-65
165.5,166.0,e,5,M,0,V
166.0,170.0,E,1,M,1,I6
170.0,172.0,E,5/5,D7,1,V65/V
172.0,174.0,E,5,D7,0,V7
174.0,178.0,E,1,M,0,I
178.0,180.0,E,5/5,D7,1,V65/V
180.0,182.0,E,5,D7,0,V7
182.0,186.0,E,1,M,0,I
186.0,190.0,E,5,D7,0,V7
190.0,194.0,E,1,M,0,I
194.0,196.0,E,5,D7,3,V42
196.0,198.0,E,3,m,1,iii6
198.0,200.0,E,6,m,1,vi6
200.0,202.0,E,2,m,1,ii6
202.0,204.0,E,4,M,0,IV
204.0,206.0,E,5,M,0,V
206.0,208.0,E,1,M,0,I
208.0,210.0,E,5,D7,0,V7
210.0,212.0,E,1,M,0,I
212.0,214.0,E,5,D7,0,V7
214.0,216.0,E,1,M,0,I
216.0,218.0,E,5,D7,0,V7
218.0,220.0,E,1,M,0,I
220.0,222.0,E,5,D7,0,V7
222.0,234.0,E,1,M,0,I
234.0,238.0,A,1,M,0,I
238.0,242.0,A,2,m,0,ii
242.0,250.0,A,5,D7,0,V7
250.0,254.0,A,1,M,0,I
254.0,256.0,A,5,D7,0,V7
256.0,258.0,A,1,M,0,I
258.0,260.0,A,5,D7,3,V42
260.0,262.0,A,1,M,1,I6
262.0,264.0,A,5,D7,1,V65
264.0,265.0,A,1,M,0,I
265.0,266.0,E,5,D7,1,V7
266.0,267.0,E,1,M,0,I
267.0,268.0,E,5,D7,1,V7
268.0,269.0,E,1,M,0,I
269.0,270.0,E,5,D7,1,V7
270.0,274.0,E,1,M,0,I
274.0,282.0,A,1,M,0,I
282.0,284.0,A,5,D7,3,V42
284.0,286.0,A,1,M,1,I6
286.0,288.0,A,5,D7,1,V65
288.0,290.0,A,1,M,0,I
290.0,292.0,A,5,D7,0,V7
292.0,292.5,A,1,M,0,I
292.5,293.0,A,5,M,1,V6
293.0,293.5,A,1,M,0,I
293.5,294.0,A,4,M,1,IV6
294.0,295.0,A,1,M,2,I64
295.0,296.0,A,5,D7,0,V7
296.0,300.0,A,1,M,0,I
300.0,304.0,A,5,D7,3,V42
304.0,308.0,A,1,M,1,I6
308.0,310.0,B,5,D7,1,V65
310.0,312.0,B,6,m,1,vi6
312.0,314.0,B,2,m,1,ii6
314.0,316.0,B,5,D7,0,V7
316.0,317.0,B,1,M,0,I
317.0,318.0,B,5/4,D7,0,V7/IV
318.0,319.0,B,4,M,1,IV6
319.0,320.0,B,5,D7,3,V42
320.0,321.0,B,1,M,0,I
321.0,322.0,B,5/4,D7,0,V7/IV
322.0,323.0,B,4,M,1,IV6
323.0,324.0,B,5,D7,3,V42
324.0,332.0,B,1,M,0,I
332.0,336.0,e,5,D7,3,V42
336.0,340.0,e,1,m,1,i6
340.0,346.0,e,7,d7,0,vii-7
346.0,348.0,e,5,D7,1,V65
348.0,352.0,e,1,m,0,i
352.0,355.0,e,7,d7,1,vii-65
355.0,356.0,G,5,D7,1,V65
356.0,360.0,G,1,M,0,I
360.0,363.0,G,7,d7,1,vii-65
363.0,364.0,B-,5,D7,1,V65
364.0,368.0,B-,1,M,0,I
368.0,370.0,B-,7/6,d7,2,vii-43/vi
370.0,372.0,B-,5/3,D7,1,V65/iii
372.0,374.0,e,5/3,D7,0,V7/III
374.0,376.0,e,5,D7,0,V7
376.0,378.0,e,5/4,D7,0,V7/iv
378.0,380.0,e,5/2,D7,1,V65/ii
380.0,382.0,e,2,h7,0,ii=7
382.0,399.5,e,7,d7,1,vii-65
399.5,400.0,e,5,M,0,V
400.0,404.0,E,1,M,1,I6
404.0,406.0,E,5/5,D7,1,V65/V
406.0,408.0,E,5,D7,0,V7
408.0,412.0,E,1,M,0,I
412.0,414.0,E,5/5,D7,1,V65/V
414.0,416.0,E,5,D7,0,V7
416.0,420.0,E,1,M,0,I
420.0,424.0,E,5,D7,0,V7
424.0,428.0,E,1,M,0,I
428.0,430.0,E,5,D7,3,V42
430.0,432.0,E,3,m,1,iii6
432.0,434.0,E,6,m,1,vi6
