time,key,degree,quality,inversion,roman_numeral_notation
0,A-,1,M,0,I
1,A-,1,M,0,I
2,A-,1,M,0,I
3,A-,5,D7,2,V43
4,A-,5,D7,2,V43
5,A-,5,D7,2,V43
6,A-,1,M,1,I6
7,A-,1,M,1,I6
8,A-,1,M,1,I6
9,A-,5,D7,0,V7
10,A-,5,D7,0,V7
11,A-,5,D7,0,V7
12,A-,1,M,0,I
13,A-,1,M,0,I
14,A-,1,M,0,I
15,A-,5,D7,2,V43
16,A-,5,D7,2,V43
17,A-,5,D7,2,V43
18,A-,5,D7,3,V42
19,A-,5,D7,3,V42
20,A-,5,D7,3,V42
21,A-,1,M,0,I
22,A-,1,M,0,I
23,A-,1,M,0,I
24,A-,5/4,D7,3,V42/IV
25,A-,5/4,D7,3,V42/IV
26,A-,5/4,D7,3,V42/IV
27,A-,4,M,1,IV6
28,A-,4,M,1,IV6
29,A-,2,m7,1,ii65
30,A-,1,M,2,I64
31,A-,1,M,2,I64
32,A-,5,D7,0,V7
33,A-,1,M,0,I
34,A-,1,M,0,I
35,A-,1,M,0,I
36,A-,5,D7,2,V43
37,A-,5,D7,2,V43
38,A-,5,D7,2,V43
39,A-,1,M,1,I6
40,A-,1,M,1,I6
41,A-,1,M,1,I6
42,A-,5,D7,1,V65
43,A-,5,D7,1,V65
44,A-,5,D7,1,V65
45,A-,1,M,0,I
46,A-,1,M,0,I
47,A-,1,M,0,I
48,A-,5/5,D7,3,V42/V
49,A-,5/5,D7,3,V42/V
50,A-,5,M,0,V
51,A-,5/5,D7,1,V65/V
52,A-,5/5,D7,1,V65/V
53,A-,5,D7,3,V42
54,E-,+4,a6,1,It+6
55,E-,1,M,2,I64
56,E-,1,M,1,I6
57,E-,4,M,0,IV
58,E-,1,M,1,I6
59,E-,2,m,0,ii
60,E-,1,M,1,I6
61,E-,2,m,0,ii
62,E-,1,M,1,I6
63,E-,4,M,0,IV
64,E-,1,M,1,I6
65,E-,2,m,0,ii
66,E-,1,M,1,I6
67,E-,2,m,0,ii
68,E-,5,D7,3,V42
69,E-,1,M,1,I6
70,E-,5,D7,3,V42
71,E-,5/5,D7,0,V7/V
72,E-,1,M,1,I6
73,E-,5/5,D7,0,V7/V
74,E-,5/5,D7,3,V42/V
